spanish,english,context
sociedad anónima, public limited company,Technological Sciences > Projects
sociedad anónima,public limited company,Economic Sciences > General economics
solidificación,solidification-point,Physics > Thermodynamics
solidificación,solidification,Technological Sciences > Environmental technology and engineering
sólido rígido,rigid solid,Technological Sciences > Construction technology
sólido rígido,rigid body,Physics > General Physics specialities
sólido rígido,rigid body,Physics > Electro-magnetism
sólido rígido, solid body,Physics > Electro-magnetism
sólido rígido,rigid solid,Physics > Aplied Physics
sonda,nucleic probe,Life sciences > Biochemistry and Molecular Biology
sonda, probe,Life sciences > Biochemistry and Molecular Biology
sonda,probe,Chemistry > Physical chemistry
sonda,probe,Technological Sciences > Chemical technology and engineering
sonda,probe,Medical Sciences > Pharmaceutical Technology
sonda,sonde,Physics > Aplied Physics
sonda,sound,Technological Sciences > Environmental technology and engineering
sonda,probe,Life sciences > Cell biology
sonda,sound,Earth and Space Sciences > Metereology and Oceanography
sonda,probe,Physics > Electro-magnetism
sonda,plumb line,Physics > Fluids (physics of)
sondeo,survey,Economic Sciences > Econometrics
sondeo,borehole,Earth and Space Sciences > Geology
sondeo, well,Earth and Space Sciences > Geology
sondeo,polling,Technological Sciences > Computer technology
sondeo,survey,Technological Sciences > Projects
sondeo,sounding,Technological Sciences > Environmental technology and engineering
sondeo,radiosounding,Earth and Space Sciences > Metereology and Oceanography
sondeo, sounding,Earth and Space Sciences > Metereology and Oceanography
subasta,auctioning,Technological Sciences > Projects
subasta, automatic award,Technological Sciences > Projects
subasta,auctioning,Economic Sciences > General economics
subgrupo,subgroup,Mathematics > Algebra
subgrupo,subset,Economic Sciences > Econometrics
subgrupo,sub-group,Technological Sciences > Projects
substrato,substrate,Technological Sciences > Environmental technology and engineering
substrato, substratum,Technological Sciences > Environmental technology and engineering
substrato,substrate,Life sciences > Biochemistry and Molecular Biology
substrato,substract,Medical Sciences > Pharmaceutical Technology
sucesión,progression,Mathematics > Analysis and functional analysis
sucesión, sequence,Mathematics > Analysis and functional analysis
sucesión,sequence,Physics > General Physics specialities
sucesión,succession,Technological Sciences > Environmental technology and engineering
sucesión,progression,Physics > Electro-magnetism
sucesión, sequence,Physics > Electro-magnetism
sucesión,sequence,Mathematics > Algebra
sucesión,serie,Earth and Space Sciences > Geology
sucesión, succession,Earth and Space Sciences > Geology
suceso elemental,elementary event,Mathematics > Statistics
suceso elemental, simple event,Mathematics > Statistics
suceso elemental,elemental event,Physics > Thermodynamics
sulfamida,sulphamide,Medical Sciences > Pharmacology
sulfamida,sulfonamide,Medical Sciences > Microbiology
sulfonamida,sulphonamide,Medical Sciences > Pharmacology
sulfonamida,sulfonamide,Chemistry > Organic chemistry
suma vectorial,vector sum,Technological Sciences > Construction technology
suma vectorial,sum of phasors,Technological Sciences > Electrical technology and engineering
suma vectorial,vector sum,Physics > Aplied Physics
sumando,addend,Mathematics > Algebra
sumando,addend,Mathematics > Analysis and functional analysis
sumando, summand,Mathematics > Analysis and functional analysis
sumando,summand,Physics > Electro-magnetism
sumidero,hole,Technological Sciences > Environmental technology and engineering
sumidero, ore,Technological Sciences > Environmental technology and engineering
sumidero, sink,Technological Sciences > Environmental technology and engineering
sumidero,waste,Physics > Fluids (physics of)
superficie exterior,outer surface,Life sciences > Cell biology
superficie exterior,external surface,Technological Sciences > Industrial technology
superposición,overlap,Medical Sciences > Medical diagnostic and Treatment Technology
superposición,superposition,Physics > Electro-magnetism
superposición,superposition,Physics > General Physics specialities
superposición,superposition,Technological Sciences > Environmental technology and engineering
superposición,superposition,Technological Sciences > Electrical technology and engineering
superposición,superposition,Technological Sciences > Telecommunications technology
superposición,superposition,Physics > Aplied Physics
supervivencia,life expectancy,Medical Sciences > Pharmacology
supervivencia, life-expectancy,Medical Sciences > Pharmacology
supervivencia, survival,Medical Sciences > Pharmacology
supervivencia,survival,Life sciences > Microbiology
suspensión,suspension,Life sciences > Cell biology
suspensión,suspension,Life sciences > Biochemistry and Molecular Biology
suspensión,hanging,Technological Sciences > Electrical technology and engineering
suspensión,suspension,Medical Sciences > Pharmaceutical Technology
suspensión,suspension,Technological Sciences > Mechanical engineering and technology
suspensión,suspension,Technological Sciences > Environmental technology and engineering
sustrato,substratum,Technological Sciences > Electronic technology
sustrato,substrate,Chemistry > Organic chemistry
sustrato,substrate,Life sciences > Cell biology
sustrato,substrate,Technological Sciences > Environmental technology and engineering
sustrato, substratum,Technological Sciences > Environmental technology and engineering
sustrato,substrate,Life sciences > Animal Biology
sustrato,substrate,Life sciences > Biochemistry and Molecular Biology
tampón,buffer,Medical Sciences > Pharmaceutical Technology
tampón,buffer,Chemistry > Organic chemistry
tampón,buffer,Chemistry > Analytical chemistry
tampón,buffer,Life sciences > Microbiology
tampón, buffer solution,Life sciences > Microbiology
tampón,buffer,Technological Sciences > Environmental technology and engineering
tasa de mortalidad,mortality rate,Medical Sciences > Public health
tasa de mortalidad,mortality rate,Life sciences > Microbiology
tasa de mortalidad,death rate,Medical Sciences > Pharmacology
tasa de renovación,renovation rate,Technological Sciences > Environmental technology and engineering
tasa de renovación,renewal rate,Life sciences > Animal Biology
techo,ceiling,Technological Sciences > Environmental technology and engineering
techo,top,Earth and Space Sciences > Geology
temblor,shiver,Technological Sciences > Environmental technology and engineering
temblor,palpitación,Medical Sciences > Pharmacology
temblor, palpitation,Medical Sciences > Pharmacology
temblor, tremor,Medical Sciences > Pharmacology
temperatura ambiente,room temperature,Chemistry > Physical chemistry
temperatura ambiente,room temperature,Technological Sciences > Food technology
temperatura ambiente,room temperature,Chemistry > Analytical chemistry
temperatura ambiente,room temperature,Chemistry > Organic chemistry
temperatura ambiente,room temperature,Life sciences > Microbiology
temperatura ambiente,ambient temperature,Earth and Space Sciences > Metereology and Oceanography
temperatura ambiente,room-temperature,Physics > Thermodynamics
temperatura ambiente,ambient temperature,Physics > Aplied Physics
temperatura ambiente, room temperature,Physics > Aplied Physics
temperatura ambiente,room temperature,Life sciences > Biochemistry and Molecular Biology
